dataset,comparison,seed,diff,se,p,note
RSNA,ensemble vs AE-PL,42,0.9024000000000032,0.3134376758729812,0.0039888614920151775,
RSNA,ensemble vs AE-PL,43,1.0950499999999974,0.29833894670679856,0.00024208632385719418,
RSNA,ensemble vs AE-PL,44,1.487700000000003,0.3000159028484367,7.095289235053379e-07,
RSNA,ensemble vs AE-U,42,2.337900000000004,0.323482399896876,4.927396970109775e-13,
RSNA,ensemble vs AE-U,43,1.9725499999999951,0.3147652938066479,3.6870194452956745e-10,
RSNA,ensemble vs AE-U,44,1.321300000000003,0.304272870298356,1.4088089775070837e-05,
RSNA,head vs AE-SSIM,42,1.2858999999999954,0.7380748721484137,0.08146730230415236,
RSNA,head vs AE-SSIM,43,2.5826000000000016,0.6325152409310077,4.444583954034252e-05,
RSNA,head vs AE-SSIM,44,-0.2999500000000044,0.6814849644355716,0.6598344291788418,
RSNA,head vs plain AE,42,13.871500000000003,0.7568539379453496,4.961971708856753e-75,
RSNA,head vs plain AE,43,13.754300000000008,0.6810830324689618,1.088815129463469e-90,
RSNA,head vs plain AE,44,13.325149999999997,0.6887125851761244,2.1227184838470916e-83,
RSNA,AE-U vs head,42,4.1567000000000025,0.677019930434995,8.267690745669272e-10,
RSNA,AE-U vs head,43,3.976999999999997,0.6770386867701016,4.251199710765389e-09,
RSNA,AE-U vs head,44,6.457350000000006,0.6756854799555954,1.2152517182545425e-21,
RSNA,AE rescored SSIM vs AE,42,8.798700000000004,0.6937433072804351,7.352791804632898e-37,
RSNA,AE rescored SSIM vs AE,43,8.9623,0.6774957549076723,6.001843677742177e-40,
RSNA,AE rescored SSIM vs AE,44,9.465800000000002,0.6868256913149439,3.272924905668787e-43,
RSNA,AE-SSIM+head vs AE-U,42,1.4711999999999947,0.6022835765871639,0.014577721806395676,
RSNA,AE-SSIM+head vs AE-U,43,-0.15720000000000178,0.6697442449724174,0.8144288093716306,
RSNA,AE-SSIM+head vs AE-U,44,-0.9156000000000053,0.6092721114459335,0.13289660789947458,
VinCXR,ensemble vs AE-PL,42,1.9572999999999952,0.4838047544831076,5.218030848545337e-05,
VinCXR,ensemble vs AE-PL,43,2.5196499999999955,0.48876251037343954,2.5341153094801e-07,
VinCXR,ensemble vs AE-PL,44,0.24540000000000672,0.5005322419237388,0.6239371169405712,
VinCXR,ensemble vs AE-U,42,2.321249999999997,0.49562715639193217,2.8207241363874018e-06,
VinCXR,ensemble vs AE-U,43,1.9027499999999975,0.48752080613181153,9.504291336025366e-05,
VinCXR,ensemble vs AE-U,44,4.61435,0.5418232651018271,1.6467790721999427e-17,
VinCXR,head vs AE-SSIM,42,14.879750000000003,1.2035912914573086,4.154661361363807e-35,
VinCXR,head vs AE-SSIM,43,14.835799999999999,1.1910671675928768,1.2989650285419198e-35,
VinCXR,head vs AE-SSIM,44,12.123499999999998,1.2231949727829337,3.716318297644702e-23,
VinCXR,head vs plain AE,42,13.30825,0.698050839014501,4.944847142552724e-81,
VinCXR,head vs plain AE,43,12.5019,0.6353283047644227,3.338173886032945e-86,
VinCXR,head vs plain AE,44,11.335299999999993,0.6168927495800917,2.0895777779937011e-75,
VinCXR,AE-U vs head,42,5.45175,0.7446357709016579,2.454618485283323e-13,
VinCXR,AE-U vs head,43,6.978899999999999,0.8594721880445126,4.662470007936125e-16,
VinCXR,AE-U vs head,44,4.735600000000007,0.7931515458313465,2.3636550634024126e-09,
VinCXR,AE rescored SSIM vs AE,42,-1.8579000000000012,1.1276031767000765,0.0994236715019451,
VinCXR,AE rescored SSIM vs AE,43,-2.767800000000009,1.1353977163506608,0.014779559283957364,
VinCXR,AE rescored SSIM vs AE,44,-2.498200000000006,1.136716533704863,0.027968103184003047,
VinCXR,AE-SSIM+head vs AE-U,42,-1.3249000000000066,1.005477670227104,0.18761006516308942,
VinCXR,AE-SSIM+head vs AE-U,43,-3.2360999999999973,1.0289206730022153,0.0016600712755471282,
VinCXR,AE-SSIM+head vs AE-U,44,1.4820999999999973,1.1443193111478391,0.1952579874018634,
LAG,ensemble vs AE-PL,42,0.7144366684354031,0.4945161262775465,0.14853693027217066,
LAG,ensemble vs AE-PL,43,0.772059885574583,0.4840159688692903,0.11068709760244261,
LAG,ensemble vs AE-PL,44,1.7556836409359011,0.4069264208616174,1.599652490426123e-05,
LAG,ensemble vs AE-U,42,6.07552442449002,0.5715526006853106,2.1643593298093994e-26,
LAG,ensemble vs AE-U,43,5.214521050719068,0.53552345805887,2.0915552672417003e-22,
LAG,ensemble vs AE-U,44,2.1712093729712167,0.42771283433750806,3.8480478769804224e-07,
LAG,head vs AE-SSIM,42,13.485505252227014,0.9238694151228589,2.944889557828978e-48,
LAG,head vs AE-SSIM,43,16.92845446625545,0.9791238284693624,5.654675304631457e-67,
LAG,head vs AE-SSIM,44,17.348845483115184,1.0180374845077969,4.045033613954949e-65,
LAG,head vs plain AE,42,1.9430731267513157,0.5179495649784068,0.00017579961043761682,
LAG,head vs plain AE,43,5.471468905508569,0.5970016189335627,4.9586180430822325e-20,
LAG,head vs plain AE,44,5.5170809507374745,0.670655102619608,1.9291484778294883e-16,
LAG,AE-U vs head,42,0.4780142339989135,0.8284317959881672,0.5639320451169365,
LAG,AE-U vs head,43,-2.495282954322575,0.7208977961829552,0.0005374642192960619,
LAG,AE-U vs head,44,-0.32065267795919894,0.5231033081362022,0.5398885375335902,
LAG,AE rescored SSIM vs AE,42,-9.549185748972588,0.7859808900346186,5.779754709347643e-34,
LAG,AE rescored SSIM vs AE,43,-10.929862358051512,0.8238684285810921,3.6203257318540763e-40,
LAG,AE rescored SSIM vs AE,44,-11.133748200224714,0.8031291975459983,1.0620226232334527e-43,
LAG,AE-SSIM+head vs AE-U,42,-0.13394737282221847,0.9059144962382413,0.8824542536592086,
LAG,AE-SSIM+head vs AE-U,43,,,,run missing
LAG,AE-SSIM+head vs AE-U,44,-8.572327780320233,1.0261780911469867,6.618790885991579e-17,
