run_id,method,seed,train_loss,score_loss,AUC,AP,normal_score,abnormal_score,n_params,train_loss_final,minutes,w,base,members
a1-aeu-l2_ds-LAG_s42,a1-aeu-l2,42,aeu,l2,0.7684960644406975,0.7312338637878497,0.004578005988150835,0.0075649055652320385,2351440.0,,,,,
a1-aeu-l2_ds-LAG_s43,a1-aeu-l2,43,aeu,l2,0.7726133117233599,0.7317714468331632,0.004640708211809397,0.007489018142223358,2351440.0,,,,,
a1-aeu-l2_ds-LAG_s44,a1-aeu-l2,44,aeu,l2,0.7902621324239305,0.7537857341695107,0.004138640593737364,0.007268343586474657,2351440.0,,,,,
a1-aeu-l2grad_ds-LAG_s42,a1-aeu-l2grad,42,aeu,l2grad,0.8281627012061346,0.8148450788524416,4.624665450592147e-07,7.227467904158402e-07,2351440.0,,,,,
a1-aeu-l2grad_ds-LAG_s43,a1-aeu-l2grad,43,aeu,l2grad,0.8220552483499843,0.8083640175921889,4.1905872194547555e-07,6.2518171262127e-07,2351440.0,,,,,
a1-aeu-l2grad_ds-LAG_s44,a1-aeu-l2grad,44,aeu,l2grad,0.8369491015187291,0.8249077494085248,4.053145801208302e-07,6.404523560377129e-07,2351440.0,,,,,
a1-aeu-perceptual_ds-LAG_s42,a1-aeu-perceptual,42,aeu,perceptual,0.710850041278901,0.6927255783598089,0.6074211597442627,0.6694296598434448,2351440.0,,,,,
a1-aeu-perceptual_ds-LAG_s43,a1-aeu-perceptual,43,aeu,perceptual,0.6871956346231913,0.681302331645139,0.6050196290016174,0.6629355549812317,2351440.0,,,,,
a1-aeu-perceptual_ds-LAG_s44,a1-aeu-perceptual,44,aeu,perceptual,0.6644960401142734,0.6532262198722598,0.6037997007369995,0.653736412525177,2351440.0,,,,,
a1-aeu-ssim_ds-LAG_s42,a1-aeu-ssim,42,aeu,ssim,0.6641189805403811,0.6326351272566411,0.16917933523654938,0.20239675045013428,2351440.0,,,,,
a1-aeu-ssim_ds-LAG_s43,a1-aeu-ssim,43,aeu,ssim,0.6695650587407123,0.6329240140017984,0.16433636844158173,0.19880138337612152,2351440.0,,,,,
a1-aeu-ssim_ds-LAG_s44,a1-aeu-ssim,44,aeu,ssim,0.6659518245578293,0.6358423767805337,0.15948283672332764,0.19435802102088928,2351440.0,,,,,
a1-l2-l2grad_ds-LAG_s42,a1-l2-l2grad,42,l2,l2grad,0.7576806883161705,0.727588237489275,5.206677542446414e-07,7.116078108992951e-07,2351184.0,,,,,
a1-l2-l2grad_ds-LAG_s43,a1-l2-l2grad,43,l2,l2grad,0.8027218227789594,0.7921068166145322,4.4529821252581314e-07,6.574744020326762e-07,2351184.0,,,,,
a1-l2-l2grad_ds-LAG_s44,a1-l2-l2grad,44,l2,l2grad,0.7997220706044053,0.7839092180767367,4.4721241465595085e-07,6.628718551837665e-07,2351184.0,,,,,
a1-l2-perceptual_ds-LAG_s42,a1-l2-perceptual,42,l2,perceptual,0.6595516944114601,0.6690824672340026,0.5994638800621033,0.6472035050392151,2351184.0,,,,,
a1-l2-perceptual_ds-LAG_s43,a1-l2-perceptual,43,l2,perceptual,0.6664923272937916,0.6730734404822724,0.5904014706611633,0.6398025155067444,2351184.0,,,,,
a1-l2-perceptual_ds-LAG_s44,a1-l2-perceptual,44,l2,perceptual,0.6760967036174914,0.6749148560901617,0.5930852890014648,0.6473199725151062,2351184.0,,,,,
a1-l2-ssim_ds-LAG_s42,a1-l2-ssim,42,l2,ssim,0.6873020627287255,0.6485281161663008,0.16849523782730103,0.20766696333885193,2351184.0,,,,,
a1-l2-ssim_ds-LAG_s43,a1-l2-ssim,43,l2,ssim,0.678243510546265,0.6517241058318283,0.1652519255876541,0.20354437828063965,2351184.0,,,,,
a1-l2-ssim_ds-LAG_s44,a1-l2-ssim,44,l2,ssim,0.6872518894789736,0.6524348504398384,0.1627207249403,0.20202022790908813,2351184.0,,,,,
a1-perceptual-l2_ds-LAG_s42,a1-perceptual-l2,42,perceptual,l2,0.5389625692352837,0.5012146576154967,0.10765493661165237,0.1110500767827034,2351184.0,,,,,
a1-perceptual-l2_ds-LAG_s43,a1-perceptual-l2,43,perceptual,l2,0.5170398998967648,0.4755857964561583,0.12386202812194824,0.11702131479978561,2351184.0,,,,,
a1-perceptual-l2_ds-LAG_s44,a1-perceptual-l2,44,perceptual,l2,0.5611285028150235,0.5283055886727723,0.0970742255449295,0.10783246904611588,2351184.0,,,,,
