run_id,method,seed,train_loss,score_loss,AUC,AP,normal_score,abnormal_score,n_params,train_loss_final,minutes,w,base,members
a1-aeu-l2_s42,a1-aeu-l2,42,aeu,l2,0.659167,0.647808418629878,0.018918350338935852,0.026093890890479088,2351440.0,,,,,
a1-aeu-l2_s43,a1-aeu-l2,43,aeu,l2,0.6533009999999999,0.64435186678809,0.01929348148405552,0.02635389193892479,2351440.0,,,,,
a1-aeu-l2_s44,a1-aeu-l2,44,aeu,l2,0.6484030000000001,0.6356268333331709,0.01944042183458805,0.026187118142843246,2351440.0,,,,,
a1-aeu-l2grad_s42,a1-aeu-l2grad,42,aeu,l2grad,0.7283769999999999,0.7103356745122541,9.883141274258378e-07,1.3648443655256415e-06,2351440.0,,,,,
a1-aeu-l2grad_s43,a1-aeu-l2grad,43,aeu,l2grad,0.704191,0.688400192040115,1.0473748943695682e-06,1.395523781866359e-06,2351440.0,,,,,
a1-aeu-l2grad_s44,a1-aeu-l2grad,44,aeu,l2grad,0.719244,0.7005274143712132,1.0253140771965263e-06,1.3924395716458093e-06,2351440.0,,,,,
a1-aeu-perceptual_s42,a1-aeu-perceptual,42,aeu,perceptual,0.7432874999999999,0.7126162478939598,0.6047307252883911,0.6594113707542419,2351440.0,,,,,
a1-aeu-perceptual_s43,a1-aeu-perceptual,43,aeu,perceptual,0.7267035,0.7045514900015741,0.6074051260948181,0.6577637791633606,2351440.0,,,,,
a1-aeu-perceptual_s44,a1-aeu-perceptual,44,aeu,perceptual,0.73944,0.7208731504811203,0.60511314868927,0.6579934358596802,2351440.0,,,,,
a1-aeu-ssim_s42,a1-aeu-ssim,42,aeu,ssim,0.7488460000000001,0.7385764388102349,0.20246554911136627,0.269308477640152,2351440.0,,,,,
a1-aeu-ssim_s43,a1-aeu-ssim,43,aeu,ssim,0.751799,0.7409905509660613,0.2022097408771515,0.26882463693618774,2351440.0,,,,,
a1-aeu-ssim_s44,a1-aeu-ssim,44,aeu,ssim,0.751707,0.7372677525569773,0.20051342248916626,0.2667400538921356,2351440.0,,,,,
a1-l2-l2grad_s42,a1-l2-l2grad,42,l2,l2grad,0.748833,0.7311510003053151,9.398077622790879e-07,1.3344950957616675e-06,2351184.0,,,,,
a1-l2-l2grad_s43,a1-l2-l2grad,43,l2,l2grad,0.7393310000000001,0.7244151691760771,9.043112640938489e-07,1.2745956610160647e-06,2351184.0,,,,,
a1-l2-l2grad_s44,a1-l2-l2grad,44,l2,l2grad,0.727531,0.717422375094815,8.982522103906376e-07,1.2373669733278803e-06,2351184.0,,,,,
a1-l2-perceptual_s42,a1-l2-perceptual,42,l2,perceptual,0.746339,0.7282853287109797,0.6054487228393555,0.66185462474823,2351184.0,,,,,
a1-l2-perceptual_s43,a1-l2-perceptual,43,l2,perceptual,0.7727529999999999,0.7468786978701131,0.5974307656288147,0.6618214249610901,2351184.0,,,,,
a1-l2-perceptual_s44,a1-l2-perceptual,44,l2,perceptual,0.7564365,0.7312252051628284,0.6030926704406738,0.6610404253005981,2351184.0,,,,,
a1-l2-ssim_s42,a1-l2-ssim,42,l2,ssim,0.770729,0.7541673454696303,0.21912570297718048,0.296375572681427,2351184.0,,,,,
a1-l2-ssim_s43,a1-l2-ssim,43,l2,ssim,0.781403,0.7618140194708005,0.21450887620449066,0.2949211895465851,2351184.0,,,,,
a1-l2-ssim_s44,a1-l2-ssim,44,l2,ssim,0.770513,0.7528183516824843,0.2166319340467453,0.29246896505355835,2351184.0,,,,,
a1-perceptual-l2_s42,a1-perceptual-l2,42,perceptual,l2,0.447492,0.4893530138428811,0.09160415828227997,0.08824808895587921,2351184.0,,,,,
a1-perceptual-l2_s43,a1-perceptual-l2,43,perceptual,l2,0.427151,0.48614792887056485,0.09990182518959045,0.09522268921136856,2351184.0,,,,,
a1-perceptual-l2_s44,a1-perceptual-l2,44,perceptual,l2,0.47168,0.5029209096265288,0.08761317282915115,0.08677434176206589,2351184.0,,,,,
a1-perceptual-l2grad_s42,a1-perceptual-l2grad,42,perceptual,l2grad,0.646791,0.6131297252589931,9.048168067238294e-06,1.1077316230512224e-05,2351184.0,,,,,
a1-perceptual-l2grad_s43,a1-perceptual-l2grad,43,perceptual,l2grad,0.654959,0.672878078762142,8.310038538184017e-06,1.0625055438140407e-05,2351184.0,,,,,
a1-perceptual-l2grad_s44,a1-perceptual-l2grad,44,perceptual,l2grad,0.644732,0.6182496551811771,8.614449143351521e-06,1.0672710232029203e-05,2351184.0,,,,,
a1-perceptual-ssim_s42,a1-perceptual-ssim,42,perceptual,ssim,0.41796199999999994,0.46571846066336653,0.6196390390396118,0.6009592413902283,2351184.0,,,,,
a1-perceptual-ssim_s43,a1-perceptual-ssim,43,perceptual,ssim,0.428055,0.46845442168038076,0.6609532833099365,0.6445054411888123,2351184.0,,,,,
a1-perceptual-ssim_s44,a1-perceptual-ssim,44,perceptual,ssim,0.4732635,0.5128207816729222,0.5872914791107178,0.5828104615211487,2351184.0,,,,,
a1-ssim-l2_s42,a1-ssim-l2,42,ssim,l2,0.594242,0.5634334257485467,0.03587789088487625,0.041984040290117264,2351184.0,,,,,
a1-ssim-l2_s43,a1-ssim-l2,43,ssim,l2,0.5977020000000001,0.5659356948825214,0.03611795976758003,0.0428752526640892,2351184.0,,,,,
a1-ssim-l2_s44,a1-ssim-l2,44,ssim,l2,0.6647969999999999,0.6273946200986689,0.030819037929177284,0.040868569165468216,2351184.0,,,,,
a1-ssim-l2grad_s42,a1-ssim-l2grad,42,ssim,l2grad,0.711358,0.679406581501552,3.1208112432068447e-06,4.42826922153472e-06,2351184.0,,,,,
a1-ssim-l2grad_s43,a1-ssim-l2grad,43,ssim,l2grad,0.7365889999999999,0.7124481337467926,3.0223293379094684e-06,4.789631930179894e-06,2351184.0,,,,,
a1-ssim-l2grad_s44,a1-ssim-l2grad,44,ssim,l2grad,0.80857,0.8014150394034172,2.3456486815121025e-06,4.417298896441935e-06,2351184.0,,,,,
a1-ssim-perceptual_s42,a1-ssim-perceptual,42,ssim,perceptual,0.670826,0.6153466765960817,0.630168616771698,0.6753038167953491,2351184.0,,,,,
a1-ssim-perceptual_s43,a1-ssim-perceptual,43,ssim,perceptual,0.62558,0.5569329024547728,0.639945387840271,0.6701932549476624,2351184.0,,,,,
a1-ssim-perceptual_s44,a1-ssim-perceptual,44,ssim,perceptual,0.750819,0.7128437916979242,0.5969700217247009,0.6581646800041199,2351184.0,,,,,
ae-grad_s42,ae-grad,42,l2,l2grad,0.748833,0.7311510003053151,9.398077622790879e-07,1.3344950957616675e-06,2351184.0,,,,,
ae-grad_s43,ae-grad,43,l2,l2grad,0.7393310000000001,0.7244151691760771,9.043112640938489e-07,1.2745956610160647e-06,2351184.0,,,,,
ae-grad_s44,ae-grad,44,l2,l2grad,0.727531,0.717422375094815,8.982520967037999e-07,1.2373669733278803e-06,2351184.0,,,,,
ae-l1_s42,ae-l1,42,l1,l1,0.67464,0.6751238944035822,0.08826982229948044,0.10536956042051315,2351184.0,0.07163028272946943,18.524242536226907,,,
ae-l1_s43,ae-l1,43,l1,l1,0.6957819999999999,0.6924753325992996,0.0877973735332489,0.10729904472827911,2351184.0,0.07163532848862418,18.501953009764353,,,
ae-l1_s44,ae-l1,44,l1,l1,0.685505,0.6795164743511164,0.08747120946645737,0.1056223139166832,2351184.0,0.07091686404879698,18.53679729302724,,,
ae-pl-posthoc-u_w-2_s42,ae-pl-posthoc-u,42,ae-pl-frozen+posthoc-var,aeu,0.574535,0.5888013552180599,0.9471839070320129,1.065446138381958,,,1.5075791676839192,2,ae-pl,
ae-pl-posthoc-u_w-2_s43,ae-pl-posthoc-u,43,ae-pl-frozen+posthoc-var,aeu,0.542043,0.5831455759192157,1.0614129304885864,1.142272710800171,,,1.5097442229588827,2,ae-pl,
ae-pl-posthoc-u_w-2_s44,ae-pl-posthoc-u,44,ae-pl-frozen+posthoc-var,aeu,0.5937790000000001,0.6038250050551881,0.9555623531341553,1.1033564805984497,,,1.5123786926269531,2,ae-pl,
ae-pl_s42,ae-pl,42,perceptual,perceptual,0.8773789999999999,0.8510819670964296,0.3990871012210846,0.5040026903152466,2351184.0,0.3211056783551583,19.228695340951283,,,
ae-pl_s43,ae-pl,43,perceptual,perceptual,0.877868,0.8507533239445202,0.40173178911209106,0.5065348744392395,2351184.0,0.3235533759829844,19.074996483325958,,,
ae-pl_s44,ae-pl,44,perceptual,perceptual,0.8720159999999999,0.8474933064492989,0.40091291069984436,0.5038440227508545,2351184.0,0.3216224127049819,20.089912724494933,,,
ae-posthoc-u_w-16_s42,ae-posthoc-u,42,l2-frozen+posthoc-var,aeu,0.815773,0.7882774459107575,2.358905076980591,3.8944740295410156,,,10.546028518676758,16,,
ae-posthoc-u_w-16_s43,ae-posthoc-u,43,l2-frozen+posthoc-var,aeu,0.816095,0.7842861036281723,1.9848682880401611,3.3401107788085938,,,10.389048369725545,16,,
ae-posthoc-u_w-16_s44,ae-posthoc-u,44,l2-frozen+posthoc-var,aeu,0.714678,0.6991199074361361,1.902984380722046,2.678039312362671,,,10.376357742150624,16,,
ae-posthoc-u_w-1_s42,ae-posthoc-u,42,l2-frozen+posthoc-var,aeu,0.6562589999999999,0.6472584114467694,1.8826580047607422,2.4965994358062744,,,0.8239457686742147,1,,
