group,AUC_mean,AUC_std,AUC_size,AP_mean,AP_std,AP_size
ae-pl_wnan,0.8590177294019804,0.0037728091739470944,3,0.8212014050662239,0.0039949952048793595,3
ae-posthoc-u_w4,0.8356063335872403,0.02531737801373482,3,0.7940714053742589,0.0240855932375622,3
ae-posthoc-u_w2,0.832747218552142,0.027051841627500937,3,0.7903301823496882,0.024368443683883117,3
a1-aeu-l2grad_wnan,0.829055683691616,0.007486973944295862,3,0.8160389486177184,0.008336231724528935,3
ae-posthoc-u_w8,0.827820104066415,0.04757770188628817,3,0.7894626269463708,0.05023469551280913,3
ae-posthoc-u_w{'chans': 4},0.827619411067408,0.03352773499849999,3,0.78674137232511,0.03299694239847723,3
aeu_wnan,0.8249541472245324,0.022760040588307412,3,0.802063655823475,0.018028114318057467,3
ens-all4_wnan,0.823194789279953,0.0031331979097209382,3,0.791115675281894,0.0015269671423814508,3
vae-grad-combi_wnan,0.8175432034758406,0.0016791245232745165,3,0.7966737145088864,0.008960801780406119,3
ae-posthoc-u_w16,0.812319610696126,0.0484576490547644,3,0.7685345297663092,0.047325720134250286,3
ae_wnan,0.7896418086088174,0.008104353450246385,3,0.7584708740101874,0.009957700296198892,3
ens-noIN_wnan,0.7891798599507492,0.007855693100662765,3,0.7632355592828092,0.00438314676142677,3
a1-l2-l2grad_wnan,0.786708193899845,0.025183262071957157,3,0.7678680907268479,0.03512335530778671,3
ae-grad_wnan,0.7867079404995939,0.025183700194950278,3,0.7678680907268479,0.03512335530778671,3
ae-l1_wnan,0.7859467261447737,0.006541491103443094,3,0.7405313094819111,0.004793143801954998,3
ae-ssim-posthoc-u_w2,0.7852478482517663,0.028874665593934673,2,0.7134232185236868,0.08068774005559283,2
vae_wnan,0.7814037664399748,0.039411488053135026,3,0.752434969267659,0.03385876071220487,3
a1-aeu-l2_wnan,0.777123836195996,0.011562830627764467,3,0.7389303482635078,0.012867949203150188,3
"ae-posthoc-u_w{'chans': 256, 'linear': True}",0.7602377502517532,0.07219790222150671,3,0.7201685211634654,0.06293943469541864,3
vae-grad-rec_wnan,0.7509105938029448,0.03234414994755999,3,0.7302531535975034,0.030745994887491242,3
ae-posthoc-u_w1,0.7403701569510476,0.04072578571923031,3,0.7021483392735991,0.03727665220605577,3
dae_wnan,0.6888604742740463,,1,0.6420396443076893,,1
a1-aeu-perceptual_wnan,0.6875139053387885,0.023178639480756342,3,0.6757513766257359,0.02032632914356533,3
a1-l2-ssim_wnan,0.684265820917988,0.005215534104842025,3,0.6508956908126559,0.00208094852266966,3
ae-pl-posthoc-u_w2,0.6805752996584671,0.013575289113638813,3,0.7054746317218731,0.014518609414382891,3
ae-ssim_wnan,0.6735378678801497,0.006469632139831566,3,0.6435597715271868,0.00745908017273974,3
a1-l2-perceptual_wnan,0.6673802417742477,0.008308166253775104,3,0.6723569212688122,0.002981482815614613,3
a1-aeu-ssim_wnan,0.6665452879463075,0.0027711172902150174,3,0.6338005060129911,0.001774201527840249,3
a1-perceptual-l2grad_wnan,0.5427595186003386,0.05644548155669295,3,0.5215860639821314,0.0642686069142047,3
a1-perceptual-l2_wnan,0.5390436573156907,0.02204441331218772,3,0.5017020142481424,0.026363274838423954,3
a1-ssim-perceptual_wnan,0.49765173987146527,0.07850538884616891,3,0.47275734888743304,0.05372153726529463,3
a1-ssim-l2_wnan,0.46278994690251135,0.045463102964395576,3,0.4446653363410203,0.03294346707195182,3
a1-perceptual-ssim_wnan,0.43375179850828344,0.047294918974466686,3,0.4441435201093169,0.04847912444058046,3
a1-ssim-l2grad_wnan,0.43133892131567436,0.023043338587010857,3,0.42770676459650986,0.016010806386790713,3
