group,AUC_mean,AUC_std,AUC_size,AP_mean,AP_std,AP_size
ae-pl_wnan,0.7550376666666668,0.003190333616306191,3,0.7394361371443366,0.0017072487360244757,3
aeu_wnan,0.7413176666666667,0.0242810340458006,3,0.7259983542814233,0.019384484629107836,3
ae-ssim-posthoc-u_w2,0.7310546666666667,0.0032592306351857045,3,0.7111967905466483,0.0032457112305123667,3
ae-posthoc-u_w4,0.7018286666666667,0.012040338464234877,3,0.6985243238450866,0.008018500818241427,3
ae-posthoc-u_w8,0.700333,0.004164510415402944,3,0.6989875006051194,0.00549850833869591,3
dae_wnan,0.695508,,1,0.7180493295268715,,1
ae-posthoc-u_w2,0.6840968333333333,0.014817203871963676,3,0.6888970879315108,0.007182495765552853,3
ens-all4_wnan,0.6810768333333334,0.007180659028482929,3,0.6861966213188392,0.005680696513770283,3
ae-posthoc-u_w{'chans': 4},0.6468023333333334,0.014011812599850525,3,0.6634113618038108,0.00886269104101599,3
ae-posthoc-u_w16,0.6449583333333333,0.0462802515802727,3,0.665083367351222,0.03351193660295563,3
ens-noIN_wnan,0.6327083333333333,0.01142223415463601,3,0.6535735853607004,0.007569134736225484,3
a1-aeu-l2grad_wnan,0.6126393333333333,0.018887242846253063,3,0.6481000210722345,0.01858775523948761,3
ae-grad_wnan,0.6093123333333333,0.0131904274507437,3,0.6397999851184436,0.010978833659008263,3
a1-l2-l2grad_wnan,0.6093123333333333,0.0131904274507437,3,0.6397999851184436,0.010978833659008263,3
vae-grad-rec_wnan,0.5872866666666666,0.00812732307302559,3,0.6172912523989057,0.002375140297080199,3
a1-ssim-l2grad_wnan,0.5832973333333333,0.075714214519688,3,0.5782363401301133,0.0906933248715052,3
a1-l2-perceptual_wnan,0.5779683333333333,0.007957948500294076,3,0.559453445288523,0.006574879217425103,3
ae-l1_wnan,0.5711858333333333,0.0016224957883869677,3,0.6080122344808064,0.0007578868582985208,3
ae_wnan,0.5602786666666667,0.006519540500168273,3,0.6001254219287536,0.0056766102087846,3
vae_wnan,0.5600930000000001,0.00682619755061334,3,0.5972890738444167,0.005967960520561017,3
a1-aeu-l2_wnan,0.5571043333333333,0.0031640819100227703,3,0.5968216449756977,0.0067291245272630374,3
vae-grad-combi_wnan,0.552789,0.0017789184916684878,3,0.585087296417298,0.004064223692815052,3
ae-ssim_wnan,0.5446333333333333,0.0012153527608613822,3,0.5529752786815,0.0010298849036348462,3
a1-ssim-perceptual_wnan,0.5402816666666667,0.053141888885636444,3,0.5201369135021561,0.049269906101410126,3
a1-aeu-perceptual_wnan,0.5395914999999999,0.009526177578126453,3,0.5487352961322159,0.001096144582765209,3
a1-l2-ssim_wnan,0.5365323333333333,0.006945221690726079,3,0.5496334721569377,0.0054690769750165204,3
a1-ssim-l2_wnan,0.5251293333333333,0.047604803847230946,3,0.5480533623978953,0.058088380756451355,3
ae-posthoc-u_w1,0.524867,0.0004699393577899413,3,0.5777014910857585,0.0013681448550241313,3
"ae-posthoc-u_w{'chans': 256, 'linear': True}",0.5245933333333334,0.0008943010306006818,3,0.5775091354090692,0.0015761993596551133,3
ae-pl-posthoc-u_w2,0.5160376666666666,0.005618028954476277,3,0.5920704414486306,0.0021959332671924563,3
a1-aeu-ssim_wnan,0.5112266666666666,0.006851346607297979,3,0.5211222805112735,0.0068464399899646625,3
a1-perceptual-l2grad_wnan,0.4581443333333333,0.01715763970752775,3,0.48217718564623685,0.008546936841159637,3
a1-perceptual-l2_wnan,0.38666583333333326,0.019230625720015812,3,0.44662555900896495,0.013973859862116828,3
a1-perceptual-ssim_wnan,0.3468523333333334,0.00885972213635017,3,0.3968974667445735,0.006702918778442095,3
