method,AUC_mean,AUC_std,AUC_size,AP_mean,AP_std,AP_size
ae-pl,0.8757543333333332,0.0032467110024351127,3,0.8497761991634162,0.0019838601106055066,3
ae-ssim-posthoc-u,0.869927,0.006926821998579259,3,0.8650048124085471,0.009368865158072606,3
aeu,0.868599,0.005345148360896981,3,0.8471481730271289,0.008589104466830462,3
ens-all4,0.8488411666666668,0.0025466127175786746,3,0.823982004803787,0.0023686875983150784,3
dae,0.8387189999999999,,1,0.8017914020679234,,1
ens-noIN,0.8191266666666667,0.0035583586220802677,3,0.7995479107315705,0.003959751295039977,3
ae-ssim,0.808067,0.004328994224990361,3,0.7880040077230445,0.0037595375215100403,3
a1-l2-ssim,0.774215,0.006225927400797402,3,0.7562665722076384,0.004851347690344759,3
ae-posthoc-u,0.7657597380952381,0.06837878318978398,21,0.7419386660598019,0.05924034524521215,21
a1-l2-perceptual,0.7585095000000001,0.01332845999168693,3,0.7354630772479737,0.009994899400668993,3
a1-ssim-l2grad,0.7521723333333333,0.05044475636112569,3,0.731089918217254,0.06310430291256024,3
a1-aeu-ssim,0.750784,0.0016789874925084772,3,0.7389449141110912,0.0018885543503366214,3
ae-grad,0.738565,0.010671638487130236,3,0.7243295148587358,0.006864713398180176,3
a1-l2-l2grad,0.738565,0.010671638487130236,3,0.7243295148587358,0.006864713398180176,3
a1-aeu-perceptual,0.7364769999999999,0.008679964904882948,3,0.7126802961255514,0.008161018737533452,3
a1-aeu-l2grad,0.7172706666666667,0.01221315611680011,3,0.6997544269745274,0.010988151799004088,3
vae-grad-rec,0.716844,0.013615766559397216,3,0.7065395313481417,0.016169038984938728,3
ae-l1,0.6853090000000001,0.010572362697145713,3,0.6823719004513328,0.009021263521552712,3
ae,0.683459,0.007986674714798367,3,0.6749167747173493,0.006502446623971431,3
a1-ssim-perceptual,0.6824083333333334,0.06341777837746548,3,0.6283744569162596,0.07876765606009022,3
vae-grad-combi,0.6783633333333333,0.01653120474536965,3,0.6832893559427152,0.011526910386230825,3
vae,0.6732713333333334,0.017248901916740434,3,0.6657566318558604,0.014450772055806853,3
a1-aeu-l2,0.6536236666666667,0.005389249422074779,3,0.6425957062503797,0.006277804549434111,3
a1-perceptual-l2grad,0.6488273333333333,0.005409054661706903,3,0.6347524864007708,0.033116823749887406,3
a1-ssim-l2,0.6189136666666667,0.039773774127348324,3,0.585587913576579,0.036227280747702054,3
ae-pl-posthoc-u,0.570119,0.026149172376960614,3,0.5919239787308213,0.010687505815168695,3
a1-perceptual-l2,0.44877433333333333,0.02229217899473564,3,0.4928072841133249,0.008904055715567943,3
a1-perceptual-ssim,0.4397601666666667,0.0294503339638676,3,0.4823312213388899,0.026440146325117153,3
